description,manufacturer,correct_code,correct_desc,form,amount,dosage
АНАФЕРОН ДЕТСКИЙ N20 ТАБЛ Д/РАССАС,Материа Медика Холдинг НПФ ООО,2738,анаферон,табл д/дет д/рассас,20,
АКВАЛОР СОФТ 150МЛ СПРЕЙ,ИС ЛАБ,45576,аквалор софт,флакон раствор,1,150мл
ГЕНФЕРОН 1000000МЕ №10 СУПП,"БИОКАД,ЗАО",9352,генферон 55,рект ваг супп,10,1000000ме 10мг
"АТОРВАСТАТИН-ТЕВА 0,01 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Тева Фармацевтические Предприятия Лтд,16244,аторвастатин-тева,табл п/плен/оболоч,30,.10мг
ИМУДОН N24 ТАБЛ Д/РАССАС,"Фармстандарт-Томскхимфарм,ОАО",14963,имудон,табл д/рассас,24,
"ПРАДАКСА 0,15 N60 КАПС",Берингер Ингельхайм Фарма ГмбХ и Ко.КГ,38713,прадакса,капс,60,150мг
ТЕСТ-ПОЛОСКИ ONE TOUCH ULTRA N50,Лайфскан Юроп/Фармстандарт Лексредства ОАО,42164,тест-полоски one touch ultra д/опредюкоз крови,,50,.г
РУМАЛОН 1МЛ N25 АМП Р-Р В/М,К.О.Ромфарм Компани С.Р.Л.,43654,румалон,раствор амп в/м,25,1мл
"ЦЕРЕТОН 0,4 N56 КАПС","Артлайф ООО/ ФармФирма ""Сотекс ""ЗАО",48135,церетон,капс инд/уп,56,400мг
"РИНОСТОП 0,1% 15МЛ СПРЕЙ НАЗАЛ",Фармстандарт-Лексредства ОАО,37696,риностоп,назал спрей,1,0.1% 15мл
"ДОРЗОПТ ПЛЮС 0,02/МЛ+0,005/МЛ 5МЛ ГЛ КАПЛИ ФЛ/КАП",К.О.Ромфарм Компани С.Р.Л.,19892,дорзопт плюс,фл/кап глаз капли,1,5мл 20мг/мл 5мг/мл
ФЕМИБИОН НАТАЛКЕР II N30 ТАБЛ+N30 КАПС,Мерк КгаА и Ко Верк Шпитталь/ Мерк Зельбстмедикацион Гмбх,21244,фемибион наталкер ii 30 30,табл капс,1,
"ЭНТЕРОЛ 0,25 N30 КАПС/ФЛАКОН",Биокодекс,46375,энтерол 7,капс флакон пак,30,250мг
"ФЛЕБОДИА 600 0,6 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Иннотера Шузи,10581,флебодиа 600,табл п/плен/оболоч,30,600мг
ПОЛИЖИНАКС N6 КАПС,Свисс Капс АГ./Иннотера Шузи,1396,полижинакс,капс ваг,6,
МОВИПРЕП ПОР Д/ПРИГОТ Р-РА Д/ПРИЕМА ВНУТРЬ САШЕ А N2+САШЕ B N2,Норджин Лимитед,42815,мовипреп д/ а б,д/вн/пр д/мест д/приг д/приг сусп раствора саше,2,"111,896г 10,600г"
"МОТИЛИУМ 0,001/МЛ 100МЛ СУСП",Янссен Фармацевтика Н.В.,1488,мотилиум орал,флакон шприц дозир сусп,1,1мг/мл 100мл
"НУРОФЕН ФОРТЕ ТАБ. 0,4 N12 ТАБЛ П/О",Рекитт Бенкизер Хелскэр Интернешнл Лтд,6856,нурофен форте,табл п/плен/оболоч,12,400мг
"ЭМАНЕРА 0,02 N28 КАПС КИШЕЧНОРАСТВ","КРКА, д.д., Ново место, АО",44568,эманера не,кишечнораствор капс,28,20мг
ГАСТАЛ N60 ТАБЛ Д/РАССАС,Тева Оперейшнс Поланд Сп.з.о.о.,3298,гастал,табл д/рассас,60,
"ИНГАВИРИН 0,06 N7 КАПС ДЛЯ ДЕТЕЙ с 7лет","Валента Фарм, ПАО",40923,ингавирин,капс д/дет,7,60мг
"ТРИМЕДАТ 0,1 N10 ТАБЛ",Дэ Хан Нью Фарм Ко.Лтд/Валента Фарм ПАО,28626,тримедат,табл,10,100мг
ИРС-19 20МЛ СПРЕЙ НАЗАЛЬНЫЙ,Майлан Лэбораториз САС/Фармстандарт-Томскхимфарм ОАО,45457,ирс-19,назал спрей,1,20мл
"ЛЕВОМЕКОЛЬ 40,0 МАЗЬ",Нижфарм АО,2927,левомеколь,мазь туба,1,40г
"ДОЛОБЕНЕ 90,0 ГЕЛЬ/ТУБА",Меркле ГмбХ,47384,долобене,д/наруж д/мест гель,1,90г
ВЕРСАТИС ПЛАСТЫРЬ N5,"Тейкоку Сейяку Ко.,Лтд/Грюненталь ГмбХ",12979,версатис пластырь 5 шт,саше,1,
АКВАЛОР ФОРТЕ 150МЛ СПРЕЙ,ИС ЛАБ,46120,аквалор форте ср-во д/орош пром полости носа,,1,150мл
"ВИТАМИН С 1,0 N20 ШИП ТАБЛ",Хемофарм А.Д.,13483,витамин с шип,табл,20,1000мг
"ВИПИДИЯ 0,025 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Такеда Айлэнд Лимитед,41496,випидия,табл п/плен/оболоч,28,25мг
"ПРОСТАМОЛ УНО 0,32 N30 КАПС",Каталент Германия Эбербах ГмбХ/Берлин-Фарма ЗАО,42224,простамол уно,капс,30,320мг
"ВАЛЬСАКОР 0,16 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ","КРКА, д.д., Ново место, АО",39973,вальсакор,табл п/плен/оболоч,30,160мг
"ДОЦЕТАКСЕЛ САНДОЗ 0,01/МЛ 8 МЛ N1 ФЛАК КОНЦ Д/Р-РА Д/ИНФ",Эбеве Фарма Гес.м.б.Х.Нфг.КГ,43045,доцетаксел-сандоз,конц д/приг раствора флакон д/инф,1,10мг/мл 8мл
"ОМНИК 0,0004 N30 КАПС С МОДИФ ВЫСВОБ","ЗиО-Здоровье, ЗАО",45130,омник с модиф,капс,30,"0,4мг"
ПИОБАКТЕРИОФАГ ПОЛИВАЛЕНТНЫЙ  (СЕКСТАФАГ) 20МЛ N4 ФЛАК,МИКРОГЕН НПО АО,10039,секстафаг пиобактериофаг поливалентный,д/вн/пр д/мест флакон раствор,4,20мл
"СИАЛИС 0,005 N14 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Лилли дель Карибе Инк/Лилли С.А.,19411,сиалис,табл п/плен/оболоч,14,5мг
"ЦЕРЕПРО 0,4 N56 КАПС","Верофарм,АО",47318,церепро,капс,56,400мг
ЭНАП-H N20 ТАБЛ,"КРКА-РУС, ООО",39810,энап-н,табл,20,25мг 10мг
РУМАЛОН 1МЛ N10 АМП Р-Р В/М,К.О.Ромфарм Компани С.Р.Л.,43653,румалон,раствор амп в/м,10,1мл
ЭМОКСИПИН 1% 5МЛ ГЛ КАПЛИ ФЛАК С КРЫШ/КАП,"ФЕРМЕНТ Фирма, ООО",4954,эмоксипин крыш-кап,флакон глаз капли,1,1% 5мл
"АРБИДОЛ МАКСИМУМ 0,2 N10 КАПС",Фармстандарт-Лексредства ОАО,39607,арбидол максимум,капс,10,200мг
"СТОПАНГИН-ТЕВА 0,2% 30МЛ СПРЕЙ Д/МЕСТН ПРИМ",Тева Чешские Предприятия с.р.о.,899,стопангин-тева аппликаторы,д/мест флакон спрей,1,"0,2% 30мл"
"ПИМАФУЦИН 0,1 N6 СУПП ВАГ",Теммлер Италиа С.р.Л,46277,пимафуцин,ваг супп,6,100мг
"МИРАМИСТИН 0,01% 500МЛ ФЛАК Р-Р","ИНФАМЕД  К,ООО",47192,мирамистин,д/мест раствор,1,0.01% 500мл
"ПРАДАКСА 0,11 N180 КАПС",Берингер Ингельхайм Фарма ГмбХ и Ко.КГ,38714,прадакса,капс,180,110мг
ОЦИЛЛОКОКЦИНУМ N12 ГРАНУЛЫ,БУАРОН,18042,оциллококцинум гранмеопат1,дозир,12,.г 1г
"СИАЛИС 0,005 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Лилли дель Карибе Инк/Лилли С.А.,19410,сиалис,табл п/плен/оболоч,28,5мг
НОВО-ПАССИТ N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ,Тева Чешские Предприятия с.р.о.,42916,ново-пассит,табл п/плен/оболоч,30,
ДЖЕС N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ,Байер Веймар Гмбх и Ко КГ,15226,джес,табл п/плен/оболоч,28,
"БАРАЛГИН М 0,5 N20 ТАБЛ",Санофи Индия Лимитед,19271,баралгин м,табл,20,500мг
"НУРОФЕН Д/ДЕТ СУСП 0,1/5МЛ 100МЛ /КЛУБНИКА/",Рекитт Бенкизер Хелскэр (Великобритания) Лимитед,10215,нурофен /клубника/ 100,д/дет сусп,1,
"МЕТОТРЕКСАТ-ЭБЕВЕ 0,01/МЛ 1,5МЛ ШПРИЦ N1 Р-Р Д/ИН+ИГЛА АВТОМАТ ЗАЩИТЫ",Эбеве Фарма Гес.м.б.Х.Нфг.КГ,45413,метотрексат-эбеве с автзащсистемиглы 15 мл,раствор для инъекций шприц,1,10мг/мл
"ПИАСКЛЕДИН 0,3 N30 КАПС",ЛАБОРАТОРИЯ ЭКСПАНСЬЯНС,39368,пиаскледин 300,капс,30,300мг
"МОТРИН 0,25 N20 ТАБЛ",Акрихин ХФК АО,46083,мотрин,табл,20,250мг
ВИТАПРОСТ ФОРТЕ N10 СУПП РЕКТ,Нижфарм АО,12161,витапрост форте,супп,10,20мг
"ДИНАМИКО 0,1 N4 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Плива Хрватска д.о.о.,19686,динамико,табл п/плен/оболоч,4,100мг
"ПАКЛИТАКСЕЛ-ЭБЕВЕ 0,006/МЛ 50МЛ ФЛАК КОНЦ Д/Р-РА",Эбеве Фарма Гес.м.б.Х.Нфг.КГ,16746,паклитаксел-эбеве -т,конц д/приг раствора д/инф,1,6мг/мл 50мл
"ДЖАРДИНС 0,025 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Берингер Ингельхайм Фарма ГмбХ и Ко.КГ,41015,джардинс,табл п/плен/оболоч,30,25мг
"ПРЕСТАНС 0,005/0,005 N30 ТАБЛ",СЕРВЬЕ РУС ООО,40864,престанс полим дозатор,табл флакон,30,5мг 5мг
ТЕСТ-ПОЛОСКИ ONE TOUCH SELECT N50,Лайфскан Юроп,41978,тест-полоски one touch select,,50,
"ИНДИНОЛ ФОРТО 0,2 N60 КАПС","МираксБиоФарма, АО",39112,индинол форто,капс,60,200мг
"РАНИТИДИН 0,15 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Хемофарм А.Д.Вршац, произ-ая площадка Шабац/ Хемофарм А.Д.",8110,ранитидин,табл п/плен/оболоч,30,150мг
ТЕСТ-ПОЛОСКИ КОНТУР ТС N50,Асцензия Диабитис Кеа Холдингс АГ,47164,тест-полоски contour ts,,50,
"КЛАЦИД 0,5 N14 ТАБЛ П/ПЛЕН/ОБОЛОЧ",ЭббВи С.р.Л.,43669,клацид,табл п/плен/оболоч блистер,14,500мг
ТЕСТ-ПОЛОСКИ АККУ-ЧЕК АКТИВ N100/2Х50/,Рош Диабетс Кеа ГмбХ,41848,тест-полоски accucheck active,,100,
"КЛЕКСАН 4000 АНТИ-ХА МЕ/0,4МЛ N10 ШПРИЦ Р-Р Д/ИН",Санофи Винтроп Индустрия,9894,клексан 4000 анти-ха ме шприцы с защитсистемой иглы,раствор для инъекций,10,"/0,4мл"
"НУРОФЕН Д/ДЕТ СУСП 0,1/5МЛ 150МЛ /АПЕЛЬСИН/",Рекитт Бенкизер Хелскэр Индия Прайвит Лимитед,45087,нурофен /апельсин/ 150,д/дет сусп,1,
"ОВЕСТИН 0,0005 N15 СУПП ВАГ",Юнитер Индастрис,2421,овестин,ваг супп,15,0.5мг
ТОНЗИЛГОН Н 100МЛ КАПЛИ,Бионорика СЕ,390,тонзилгон н,д/вн/пр капли,1,100мл
"АСВИТОЛ СОЛНЫШКО 0,025 N10 ЖЕВ ТАБЛ",Фармстандарт-УфаВИТА ОАО,9311,асвитол солнышко бад,табл жев,10,25мг
"АРБИДОЛ 0,1 N10 КАПС",Фармстандарт-Лексредства ОАО,12360,арбидол,капс,10,100мг
"АКЛАСТА 0,005/100МЛ 100МЛ N1 ФЛАК Р-Р Д/ИНФ",Новартис Фарма Штейн АГ,18385,акласта д/инфузфлаконы,раствор,1,5мг 100мл 100мл
"ХОНДРОКСИД 5% 30,0 МАЗЬ",Нижфарм АО,2915,хондроксид,мазь,1,5% 30г
АКВАЛОР БЕБИ ДЛЯ ДЕТЕЙ 150МЛ СПРЕЙ,ИС ЛАБ,45978,аквалор беби ср-во д/орош пром полости носа,,1,150мл
КРЕОН 25000 25000ЕД N20 КАПС КИШЕЧНОРАСТВОР,Эбботт Лэбораториз ГмбХ,42664,креон 25 000,кишечнораствор капс,20,25000ед
КРЕОН 25000 25000ЕД N50 КАПС КИШЕЧНОРАСТВОР,Эбботт Лэбораториз ГмбХ,47926,креон 25 000,кишечнораствор капс,50,25000ед
"ПРАДАКСА 0,15 N180 КАПС",Берингер Ингельхайм Фарма ГмбХ и Ко.КГ,38715,прадакса,капс,180,150мг
"ПРОСТАМОЛ УНО 0,32 N90 КАПС",Каталент Германия Эбербах ГмбХ/Берлин-Фарма ЗАО,42244,простамол уно,капс,90,320мг
"ФЕРИНЖЕКТ 0,05/МЛ 10МЛ N1 ФЛАК Р-Р Д/ В/В",Бипсо ГмбХ/ Вифор (Интернэшнл) Инк,43146,феринжект,флакон раствор в/в,1,50мг/мл 10мл
ЦЕРЕБРОЛИЗИН 10МЛ N5 АМП Р-Р Д/ИН,ЭВЕР Фарма Йена ГмбХ/ ЭВЕР Нейро Фарма ГмбХ,610,церебролизин,раствор для инъекций амп,5,10мл
"КСАРЕЛТО 0,015 N100 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Байер АГ,44394,ксарелто,табл п/плен/оболоч,100,15мг
АЛЬФА Д3-ТЕВА 1МКГ N30 КАПС,Каталент Джермани Эбербах ГмбХ/ Тева Фармацевтические Предприяти,13010,альфа д3-тева,капс,30,1мкг
"НАЙЗ 0,1 N20 ТАБЛ",Д-р Редди с Лабораторис Лтд,3375,найз,табл,20,100мг
"ЛОПЕРАМИД-ШТАДА 0,002 N20 КАПС","Хемофарм,ООО",40286,лоперамид-штада,капс,20,2мг
"ПУЛЬМИКОРТ 0,25МГ/МЛ 2МЛ N20 КОНТ СУСП Д/ИНГ",Астра Зенека АБ,3931,пульмикорт,д/инг пак сусп,20,0.25мг/мл 2мл
ЦИТОФЛАВИН 10МЛ N10 АМП Р-Р В/В/ТЕМНОЕ СТЕКЛО/,"ПОЛИСАН НТФФ, ООО",18305,цитофлавин темн стекла,раствор амп в/в,10,10мл
"БЕТАСЕРК 0,016 N30 ТАБЛ",Майлан Лэбораториз САС,45401,бетасерк,табл блистер,30,16мг
ВИФЕРОН-2 500000МЕ N10 СУПП,ФЕРОН ООО,4957,виферон-2,рект супп,10,500000ед
МАГНЕ В6 N60 ТАБЛ П/О,Хиноин Завод Фармацевтических и Химических продукт,47379,магне6,табл п/плен/оболоч,60,
"ФИЗИОТЕНЗ 0,0004 N14 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Роттендорф Фарма ГмбХ/ Майлан Лэбораториз САС,45565,физиотенз,табл п/плен/оболоч,14,0.4мг
"ФЕРРОГЕМАТОГЕН-ФАРМСТАНДАРТ 50,0 ЖЕВ ПАСТИЛКА",Фармстандарт-Лексредства ОАО,40206,феррогематоген бад,жев пастилки,1,50г
"СИАЛИС 0,02 N8 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Лилли дель Карибе Инк/Лилли С.А.,26762,сиалис,табл п/плен/оболоч,8,20мг
МЕЗИМ-ФОРТЕ N80 ТАБЛ П/О,"Берлин-Хеми АГ/ Берлин-Фарма, ЗАО",39563,мезим форте,табл п/плен/оболоч,80,
"ЦИКЛОФЕРОН 0,15 N50 ТАБЛ П/КИШЕЧНОРАСТВОР/ОБОЛОЧ","ПОЛИСАН НТФФ, ООО",812,циклоферон об,табл кишечнораствор,50,150мг
"НОЛИПРЕЛ А БИ-ФОРТЕ 0,0025+0,01 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",СЕРВЬЕ РУС ООО,48192,нолипрел а би форте 10,табл п/плен/оболоч флакон,30,"2,5мг"
ГЕНФЕРОН 500000МЕ №10 СУПП,"БИОКАД,ЗАО",9350,генферон 55,рект ваг супп,10,500000ме 10мг
"БЕРЛИТИОН 300 0,3 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Хаупт Фарма Вольфратсхаузен ГмбХ/Берлин-Фарма ЗАО,47793,берлитион 300,табл п/плен/оболоч блистер,30,300мг
"БЕТАЛОК ЗОК 0,05 N30 ТАБЛ ЗАМЕДЛ ВЫСВОБ П/О",АстраЗенека АБ/АстраЗенека Индастриз ООО,43617,беталок зок замедл,табл п/плен/оболоч,30,50мг
